Sequence | Max Force
Sequence | Max Force | Soil Class
----------------------------------------
2010 | 60.15    | 6
2020 | 98.64    | 6
2030 | 72.65    | 6
2040 | 27.84    | 6
2050 | 158.44   | 6
2060 | 128.74   | 6
2070 | 99.37    | 4
2080 | 91.16    | 4
2090 | 28.67    | 4
2100 | 53.77    | 4
2110 | 31.84    | 4
2120 | 50.54    | 4
2130 | 94.14    | 4
2140 | 88.57    | 4
2150 | 83.69    | 4
2160 | 47.76    | 4
2170 | 51.92    | 1
2180 | 45.60    | 1
2190 | 30.48    | 1
2200 | 74.99    | 4
2210 | 116.02   | 4
2220 | 87.23    | 4
2230 | 29.28    | 4
2240 | 116.91   | 4
2250 | 68.26    | 4
2260 | 34.65    | 4
2270 | 34.89    | 4
2280 | 17.56    | 4
2285 | 8.77     | 1
2290 | 29.14    | 4
2300 | 17.33    | 4
2310 | 36.00    | 4
2320 | 19.51    | 4
2330 | 16.95    | 4
2340 | 24.19    | 4
2350 | 94.39    | 1
2360 | 91.84    | 1
2370 | 48.10    | 1
2380 | 25.04    | 4
2390 | 86.58    | 1
2400 | 44.23    | 1
2410 | 30.30    | 1
2420 | 106.33   | 1
2430 | 86.05    | 1
2440 | 31.74    | 1
2450 | 25.82    | 1
2460 | 67.95    | 1
2470 | 55.39    | 1
2480 | 74.12    | 1
2490 | 81.01    | 1
2500 | 54.78    | 1
2510 | 53.80    | 1
2520 | 52.95    | 1
2530 | 25.09    | 1
2540 | 113.33   | 1
2550 | 29.53    | 1
2560 | 32.02    | 1
2570 | 30.33    | 1
2580 | 58.98    | 1
2590 | 48.46    | 1
2600 | 19.73    | 1
2610 | 29.63    | 1
2630 | 16.13    | 1
2640 | 37.32    | 1
2645 | 11.47    | 1
2650 | 23.21    | 1
2660 | 23.71    | 1
2670 | 55.08    | 1
2680 | 25.09    | 1
2690 | 42.62    | 1
2700 | 39.70    | 1
2710 | 48.94    | 1
2720 | 34.44    | 1
2730 | 16.10    | 1
2740 | 36.14    | 1
2750 | 27.25    | 1
2760 | 31.86    | 1
2765 | 9.26     | 1
2770 | 64.42    | 1
2780 | 30.28    | 1
2790 | 12.99    | 1
2800 | 44.18    | 1
2810 | 35.02    | 1
2820 | 16.84    | 1
2830 | 29.74    | 1
2840 | 28.80    | 1
2850 | 23.83    | 1
2860 | 43.96    | 1
2870 | 7.07     | 1
2880 | 70.50    | 1
2890 | 76.30    | 1
2900 | 69.54    | 1
2910 | 55.88    | 1
2920 | 32.14    | 1
2930 | 60.83    | 1
2940 | 57.95    | 1
2950 | 70.85    | 1
2960 | 57.87    | 1
