Step 6: Structure Usage Tags
Sequence # | Element Label      | Element Type    | Maximum Usage
----------------------------------------------------------------------
2030        | NG12 | Guy | 64.28
2040        | PG11 | Guy | 42.05
2080 & 2085 | CM12 | Guy | 63.99
2080 & 2085 | PG21 | Guy | 86.45
2080 & 2085 | PG11 | Guy | 30.74
2090        | PG11 | Guy | 48.53
2090        | NG12 | Guy | 49.97
2110        | PG11 | Guy | 60.56
2140        | PG11 | Guy | 37.61
2170        | PG11 | Guy | 34.95
2180        | PG11 | Guy | 45.57
2190        | PG11 | Guy | 40.39
2220        | PG11 | Guy | 44.45
2230        | PG11 | Guy | 47.41
2250        | PG11 | Guy | 41.58
2280        | PG11 | Guy | 42.64
2280        | SE21 | Guy | 24.48
2285        | SE12 | Guy | 53.93
2290        | PG21 | Guy | 35.58
2290        | PG11 | Guy | 34.97
2290        | NG22 | Guy | 30.59
2300        | PG11 | Guy | 40.19
2310        | NG12 | Guy | 42.52
2310        | PG11 | Guy | 17.80
2320        | PG11 | Guy | 40.38
2330        | PG11 | Guy | 33.34
2340        | PG11 | Guy | 40.58
2360        | NG12 | Guy | 45.03
2370        | CM11 | Guy | 39.94
2380        | PG11 | Guy | 59.41
2390        | NG12 | Guy | 74.71
2390        | CM21 | Guy | 77.60
2390        | PG11 | Guy | 29.30
2410        | PG11 | Guy | 43.55
2430        | PG11 | Guy | 31.62
2440        | PG11 | Guy | 49.30
2440        | PG21 | Guy | 34.07
2440        | CM31 | Guy | 7.89 
2450        | PG11 | Guy | 49.28
2470        | PG11 | Guy | 65.71
2480        | CM12 | Guy | 26.03
2480        | PG11 | Guy | 1.73 
2490        | CM11 | Guy | 13.78
2530        | PG11 | Guy | 49.09
2530        | NG12 | Guy | 24.63
2540        | PG11 | Guy | 57.65
2590        | PG11 | Guy | 29.68
2600        | PG11 | Guy | 34.08
2630        | NG12 | Guy | 52.78
2630        | PG11 | Guy | 21.70
2630        | PG21 | Guy | 26.85
2645        | NG12 | Guy | 43.81
2650        | PG11 | Guy | 55.15
2660        | PG11 | Guy | 38.26
2670        | NG12 | Guy | 83.44
2670        | PG32 | Guy | 70.37
2670        | PG22 | Guy | 86.92
2670        | PG21 | Guy | 44.79
2680        | NG12 | Guy | 56.94
2700        | SE11 | Guy | 27.78
2730 & 2735 | PG12 | Guy | 58.00
2730 & 2735 | PG13 | Guy | 73.72
2750        | PG11 | Guy | 31.87
2765        | CM13 | Guy | 93.37
2770        | PG11 | Guy | 59.92
2770        | NG12 | Guy | 61.27
2770        | CM13 | Guy | 58.72
2780        | NG12 | Guy | 65.84
2790        | CM13 | Guy | 45.63
2795        | CM11 | Guy | 11.05
2810        | NG12 | Guy | 62.56
2820        | PG11 | Guy | 42.97
2840        | NG12 | Guy | 60.97
2850        | NG12 | Guy | 55.65
2870        | CM12 | Guy | 36.69
2870        | PG11 | Guy | 14.13
2880 & 2885 | PG12 | Guy | 62.06
2890        | NG12 | Guy | 44.25
2890        | CM21 | Guy | 35.86
2900        | CM11 | Guy | 42.63
2930        | PG11 | Guy | 43.27
2930        | NG12 | Guy | 42.64
2940        | PG11 | Guy | 38.95
2960        | NG12 | Guy | 49.93
