Step 7: Joint Support Tags
Sequence | Max Force
------------------------------
2010       | 43.10   
2010       | 60.15   
2010       | 15.31   
2010       | 25.54   
2010       | 44.86   
2010       | 54.52   
2010       | 7.56    
2010       | 15.98   
2010       | 9.33    
2010       | 16.93   
2010       | 23.17   
2010       | 29.74   
2010       | 43.27   
2010       | 29.08   
2010       | 42.39   
2020       | 44.04   
2020       | 101.15  
2020       | 21.91   
2020       | 49.53   
2020       | 42.70   
2020       | 78.34   
2020       | 14.72   
2020       | 31.74   
2020       | 77.29   
2020       | 16.51   
2020       | 33.86   
2020       | 32.04   
2020       | 75.60   
2020       | 31.74   
2020       | 74.03   
2050       | 131.74  
2050       | 97.07   
2050       | 128.60  
2050       | 113.91  
2050       | 36.91   
2050       | 16.28   
2050       | 7.47    
2050       | 6.15    
2050       | 55.77   
2050       | 34.62   
2050       | 128.60  
2050       | 113.91  
2050       | 36.91   
2050       | 16.28   
2050       | 23.60   
2050       | 53.17   
2050       | 40.24   
2050       | 99.03   
2050       | 64.43   
2050       | 91.08   
2050       | 66.06   
2060       | 106.10  
2060       | 98.45   
2060       | 45.42   
2060       | 41.39   
2060       | 88.19   
2060       | 83.80   
2060       | 32.34   
2060       | 29.70   
2060       | 33.26   
2060       | 41.05   
2060       | 38.53   
2060       | 79.59   
2060       | 73.65   
2060       | 72.99   
2060       | 67.25   
2070       | 91.80   
2070       | 99.38   
2070       | 35.36   
2070       | 39.92   
2070       | 81.23   
2070       | 85.39   
2070       | 19.78   
2070       | 23.59   
2070       | 4.82    
2070       | 34.01   
2070       | 36.85   
2070       | 64.90   
2070       | 71.02   
2070       | 62.87   
2070       | 68.77   
2080 & 2085 | 88.10   
2080 & 2085 | 11.50   
2080 & 2085 | 2.50    
2080 & 2085 | 3.97    
2080 & 2085 | 106.91  
2080 & 2085 | 20.58   
2080 & 2085 | 5.02    
2080 & 2085 | 1.65    
2080 & 2085 | 53.28   
2080 & 2085 | 7.78    
2080 & 2085 | 1.79    
2080 & 2085 | 2.18    
2080 & 2085 | 60.28   
2080 & 2085 | 11.66   
2080 & 2085 | 2.76    
2080 & 2085 | 1.32    
2080 & 2085 | 42.88   
2080 & 2085 | 3.45    
2080 & 2085 | 0.91    
2080 & 2085 | 2.53    
2080 & 2085 | 61.36   
2080 & 2085 | 14.04   
2080 & 2085 | 3.23    
2080 & 2085 | 0.59    
2080 & 2085 | 44.03   
2080 & 2085 | 6.85    
2080 & 2085 | 1.61    
2080 & 2085 | 1.74    
2080 & 2085 | 47.99   
2080 & 2085 | 9.12    
2080 & 2085 | 2.16    
2080 & 2085 | 1.25    
2080 & 2085 | 105.40  
2080 & 2085 | 17.83   
2080 & 2085 | 4.11    
2080 & 2085 | 3.13    
2080 & 2085 | 29.96   
