Section # | Structure -> Structure | Circuit Type | Circuit Value | Span Lengths | Total Length | Sequences | Heights | Set Numbers
-----------------------------------------------------------------------------------------------------------------------------------
1 | 2020 -> 2030 | 5R234-1/0 ACSR-1PH | 1 | 2020->2030=79.05 | 79.05 | 2020, 2030 | 37.7 | 25
5 | 2130 -> 2140 | 5R234-1/0 ACSR-1PH | 1 | 2130->2140=89.10 | 89.10 | 2130, 2140 | 38.8 | 25
8 | 2210 -> 2220 | 5R234-1/0 ACSR-1PH | 1 | 2210->2220=90.09 | 90.09 | 2210, 2220 | 37.7 | 25
11 | 2350 -> 2360 | 5R234-1/0 ACSR-1PH | 1 | 2350->2360=94.01 | 94.01 | 2350, 2360 | 37.5 | 26
14 | 2420 -> 2430 | 5R234-1/0 ACSR-1PH | 1 | 2420->2430=84.32 | 84.32 | 2420, 2430 | 38.8 | 25
18 | 2470 -> 2540 | 5R234-1/0 ACSR-1PH | 1 | 2470->2540=91.74 | 91.74 | 2470, 2540 | 38.8 | 25
22 | 2670 -> 2690 -> 2700 -> 2710 -> 2720 | 5R234-1/0 ACSR-1PH | 1 | 2670->2690=304.65 + 2690->2700=281.47 + 2700->2710=98.28 + 2710->2720=223.45 | 907.85 | 2670, 2690, 2700, 2710, 2720 | 41.3, 43.8, 39.3, 43.8 | 20, 20, 20, 20
23 | 2670 -> 2680 | 5R234-1/0 ACSR-1PH | 1 | 2670->2680=138.84 | 138.84 | 2670, 2680 | 39.5 | 25
31 | 2740 -> 2750 | 5R234-1/0 ACSR-1PH | 1 | 2740->2750=219.03 | 219.03 | 2740, 2750 | 43.8 | 20
34 | 2760 -> 2790 | 5R234-1/0 ACSR-1PH | 1 | 2760->2790=222.98 | 222.98 | 2760, 2790 | 36.8 | 20
35 | 2760 -> 2770 | 5R234-1/0 ACSR-1PH | 1 | 2760->2770=57.34 | 57.34 | 2760, 2770 | 35.2 | 25
44 | 2790 -> 2830 -> 2840 -> 2860 -> 2870 | 5R234-1/0 ACSR-1PH | 1 | 2790->2830=125.89 + 2830->2840=190.94 + 2840->2860=276.45 + 2860->2870=250.31 | 843.59 | 2790, 2830, 2840, 2860, 2870 | 39.3, 43.8, 39.3, 43.8 | 20, 20, 20, 20
45 | 2790 -> 2800 -> 2810 | 5R234-1/0 ACSR-1PH | 1 | 2790->2800=302.66 + 2800->2810=303.64 | 606.30 | 2790, 2800, 2810 | 38.3, 48.3 | 25, 20
52 | 2030 -> 2040 | 5R234-1/0 ACSR-1PH | 1 | 2030->2040=267.03 | 267.03 | 2030, 2040 | 41.3 | 25
58 | 2110 -> 2100 | 5R234-1/0 ACSR-1PH | 1 | 2110->2100=346.29 | 346.29 | 2100, 2110 | 41.3 | 25
61 | 2140 -> 2150 -> 2160 -> 2170 | 5R234-1/0 ACSR-1PH | 1 | 2140->2150=363.13 + 2150->2160=227.18 + 2160->2170=323.54 | 913.85 | 2140, 2150, 2160, 2170 | 41.3, 44.1, 39.3 | 20, 20, 20
67 | 2170 -> 2180 | 5R234-1/0 ACSR-1PH | 1 | 2170->2180=32.08 | 32.08 | 2170, 2180 | 41.3 | 25
70 | 2180 -> 2190 | 5R234-1/0 ACSR-1PH | 1 | 2180->2190=328.71 | 328.71 | 2180, 2190 | 41.3 | 20
73 | 2220 -> 2230 | 5R234-1/0 ACSR-1PH | 1 | 2220->2230=271.09 | 271.09 | 2220, 2230 | 41.3 | 20
76 | 2280 -> 2270 -> 2260 -> 2250 | 5R234-1/0 ACSR-1PH | 1 | 2280->2270=447.80 + 2270->2260=450.25 + 2260->2250=346.85 | 1244.90 | 2250, 2260, 2270, 2280 | 41.0, 43.8, 43.8 | 26, 20, 20
78 | 2250 -> 2240 | 5R234-1/0 ACSR-1PH | 1 | 2250->2240=105.47 | 105.47 | 2240, 2250 | 41.3 | 25
80 | 2300 -> 2290 | 5R234-1/0 ACSR-1PH | 1 | 2300->2290=262.70 | 262.70 | 2290, 2300 | 36.8 | 25
82 | 2290 -> 2280 | 5R234-1/0 ACSR-1PH | 1 | 2290->2280=363.42 | 363.42 | 2280, 2290 | 36.8 | 25
87 | 2320 -> 2310 | 5R234-1/0 ACSR-1PH | 1 | 2320->2310=217.60 | 217.60 | 2310, 2320 | 40.3 | 25
89 | 2310 -> 2290 | 5R234-1/0 ACSR-1PH | 1 | 2310->2290=55.70 | 55.70 | 2290, 2310 | 36.8 | 25
91 | 2410 -> 2400 -> 2390 | 5R234-1/0 ACSR-1PH | 1 | 2410->2400=316.41 + 2400->2390=318.94 | 635.35 | 2390, 2400, 2410 | 41.3, 43.8 | 25, 20
94 | 2390 -> 2350 | 5R234-1/0 ACSR-1PH | 1 | 2390->2350=97.66 | 97.66 | 2350, 2390 | 41.3 | 27
97 | 2360 -> 2370 -> 2380 | 5R234-1/0 ACSR-1PH | 1 | 2360->2370=380.03 + 2370->2380=392.84 | 772.87 | 2360, 2370, 2380 | 41.0, 43.8 | 27, 20
100 | 2430 -> 2440 | 5R234-1/0 ACSR-1PH | 1 | 2430->2440=291.81 | 291.81 | 2430, 2440 | 41.3 | 20
103 | 2440 -> 2450 | 5R234-1/0 ACSR-1PH | 1 | 2440->2450=279.37 | 279.37 | 2440, 2450 | 41.3 | 20
106 | 2530 -> 2520 -> 2510 -> 2490 -> 2480 -> 2470 | 5R234-1/0 ACSR-1PH | 1 | 2530->2520=176.09 + 2520->2510=333.36 + 2510->2490=339.24 + 2490->2480=337.40 + 2480->2470=338.60 | 1524.69 | 2470, 2480, 2490, 2510, 2520, 2530 | 41.3, 43.8, 39.3, 43.8, 43.8 | 25, 20, 20, 20, 20
111 | 2490 -> 2500 | 5R234-1/0 ACSR-1PH | 1 | 2490->2500=101.35 | 101.35 | 2490, 2500 | 40.3 | 25
113 | 2540 -> 2550 -> 2560 -> 2570 -> 2580 -> 2610 -> 2630 | 5R234-1/0 ACSR-1PH | 1 | 2540->2550=314.70 + 2550->2560=345.60 + 2560->2570=313.48 + 2570->2580=276.16 + 2580->2610=302.99 + 2610->2630=321.77 | 1874.70 | 2540, 2550, 2560, 2570, 2580, 2610, 2630 | 41.3, 43.8, 43.8, 43.8, 52.8, 43.8 | 25, 20, 20, 20, 20, 20
115 | 2630 -> 2640 | 5R234-1/0 ACSR-1PH | 1 | 2630->2640=217.81 | 217.81 | 2630, 2640 | 41.3 | 25
117 | 2640 -> 2660 | 5R234-1/0 ACSR-1PH | 1 | 2640->2660=147.24 | 147.24 | 2640, 2660 | 41.3 | 20
121 | 2600 -> 2590 | 5R234-1/0 ACSR-1PH | 1 | 2600->2590=181.12 | 181.12 | 2590, 2600 | 41.3 | 25
123 | 2590 -> 2580 | 5R234-1/0 ACSR-1PH | 1 | 2590->2580=71.50 | 71.50 | 2580, 2590 | 41.3 | 25
125 | 2650 -> 2640 | 5R234-1/0 ACSR-1PH | 1 | 2650->2640=343.79 | 343.79 | 2640, 2650 | 41.3 | 25
127 | 2770 -> 2780 | 5R234-1/0 ACSR-1PH | 1 | 2770->2780=195.59 | 195.59 | 2770, 2780 | 41.3 | 25
130 | 2810 -> 2820 | 5R234-1/0 ACSR-1PH | 1 | 2810->2820=231.23 | 231.23 | 2810, 2820 | 41.0 | 26
132 | 2850 -> 2840 | 5R234-1/0 ACSR-1PH | 1 | 2850->2840=179.33 | 179.33 | 2840, 2850 | 36.8 | 25
135 | 2890 -> 2900 -> 2910 | 5R234-1/0 ACSR-1PH | 1 | 2890->2900=298.24 + 2900->2910=297.75 | 595.99 | 2890, 2900, 2910 | 41.3, 43.8 | 20, 20
139 | 2910 -> 2920 -> 2930 | 5R234-1/0 ACSR-1PH | 1 | 2910->2920=234.54 + 2920->2930=76.31 | 310.85 | 2910, 2920, 2930 | 41.0, 43.8 | 21, 20
141 | 2930 -> 2940 | 5R234-1/0 ACSR-1PH | 1 | 2930->2940=55.60 | 55.60 | 2930, 2940 | 41.3 | 25
144 | 2940 -> 2950 -> 2960 | 5R234-1/0 ACSR-1PH | 1 | 2940->2950=298.55 + 2950->2960=297.04 | 595.59 | 2940, 2950, 2960 | 41.3, 43.8 | 25, 20
149 | 2330 -> 2320 -> 2340 | 5R234-1/0 ACSR-1PH | 1 | 2330->2320=225.65 + 2320->2340=193.76 | 419.41 | 2320, 2330, 2340 | 36.8, 43.8 | 25, 20
152 | 2010 -> 2020 -> 2050 -> 2060 -> 2120 -> 2130 -> 2200 -> 2210 -> 2240 -> 2350 -> 2420 -> 2460 -> 2470 -> 2670 | 5R234-1/0 ACSR-3PH | 3 | 2010->2020=264.69 + 2020->2050=186.52 + 2050->2060=206.99 + 2060->2070=403.29 + 2120->2130=173.36 + 2130->2200=235.06 + 2200->2210=216.84 + 2210->2240=299.50 + 2240->2350=361.26 + 2350->2420=358.21 + 2420->2460=263.65 + 2460->2470=272.06 + 2470->2670=249.10 | 3490.53 | 2010, 2020, 2050, 2060, 2070, 2120, 2130, 2200, 2210, 2240, 2350, 2420, 2460, 2470, 2670 | 42.6, 42.4, 35.1, 46.9, 42.4, 42.4, 46.9, 42.4, 42.4, 42.4, 42.4, 42.4, 42.4 | 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20
