Sequence | Type       | Latitude    | Longitude     | Primary Framing                 | Secondary Framing         | Anchor Direction | Lead Length
--------------------------------------------------------------------------------------------------------------------------------------------------
2010 | P1         | 42.49451432 | -123.37674990 | SEQ 2010 EJ300 TAN ST50.01.POL  |                           |    |      
2020 | P1         | 42.49378777 | -123.37676185 | SEQ 2020 EJ300 TAN              | EH131 ST50.01.POL         |    |      
2030 | P1 to PG11 | 42.49361688 | -123.37662024 | SEQ 2030 EH121 ST50.01.POL      |                           | SW | 14.75
2030 | P1 to NG12 | 42.49361688 | -123.37662024 | SEQ 2030 EH121 ST50.01.POL      |                           | SW | 14.75
2040 | P1 to PG11 | 42.49382668 | -123.37553222 | SEQ 2040 EH131 ST50.01.POL      |                           | NE | 20.69
2040 | P1 to NG12 | 42.49382668 | -123.37553222 | SEQ 2040 EH131 ST50.01.POL      |                           | NE | 20.69
2040 | P1 to CM21 | 42.49382116 | -123.37556088 | SEQ 2040 EH131 ST50.01.POL      |                           | NE | 12.70
2050 | P1         | 42.49327505 | -123.37676442 | SEQ 2050 115kV TF200            | EJ300 TAN H1-85_0-1.POL   |    |      
2060 | P1         | 42.49270716 | -123.37676269 | SEQ 2060 EJ300 TAN ST55.01.POL  |                           |    |      
2070 | P1         | 42.49160060 | -123.37676906 | SEQ 2070 EJ300 TAN ST50.01.POL  |                           |    |      
2080 | P1 to P2   | 42.49050946 | -123.37691739 | SEQ 2080 EJ300 TAN              | (2) EH226 ST50.01.POL     | SW | 40.85
2080 | P1 to PG21 | 42.49050902 | -123.37694458 | SEQ 2080 EJ300 TAN              | (2) EH226 ST50.01.POL     | SW | 48.18
2080 | P1 to CM22 | 42.49050902 | -123.37694458 | SEQ 2080 EJ300 TAN              | (2) EH226 ST50.01.POL     | SW | 48.18
2080 | P1 to PG11 | 42.49050607 | -123.37674220 | SEQ 2080 EJ300 TAN              | (2) EH226 ST50.01.POL     | SE | 7.58 
2080 | P1 to CM12 | 42.49050607 | -123.37674220 | SEQ 2080 EJ300 TAN              | (2) EH226 ST50.01.POL     | SE | 7.58 
2090 | P1 to PG11 | 42.49095341 | -123.37772589 | SEQ 2090 EH131 ST50.01.POL      |                           | NW | 16.14
2090 | P1 to NG12 | 42.49095341 | -123.37772589 | SEQ 2090 EH131 ST50.01.POL      |                           | NW | 16.14
