Sequence | Max Force
--------------------
2010 | 60.15 
2020 | 98.64 
2030 | 72.65 
2040 | 27.84 
2050 | 158.44
2060 | 128.74
2070 | 99.37 
2080 | 91.16 
2090 | 28.67 
2100 | 53.77 
2110 | 31.84 
2120 | 50.54 
2130 | 94.14 
2140 | 88.57 
2150 | 83.69 
2160 | 47.76 
2170 | 51.92 
2180 | 45.60 
2190 | 30.48 
2200 | 74.99 
2210 | 116.02
2220 | 87.23 
2230 | 29.28 
2240 | 116.91
2250 | 68.26 
2260 | 34.65 
2270 | 34.89 
2280 | 17.56 
2285 | 8.77  
2290 | 29.14 
2300 | 17.33 
2310 | 36.00 
2320 | 19.51 
2330 | 16.95 
2340 | 24.19 
2350 | 94.39 
2360 | 91.84 
2370 | 48.10 
2380 | 25.04 
2390 | 86.58 
2400 | 44.23 
2410 | 30.30 
2420 | 106.33
2430 | 86.05 
2440 | 31.74 
2450 | 25.82 
2460 | 67.95 
2470 | 55.39 
2480 | 74.12 
2490 | 81.01 
2500 | 54.78 
2510 | 53.80 
2520 | 52.95 
2530 | 25.09 
2540 | 113.33
2550 | 29.53 
2560 | 32.02 
2570 | 30.33 
2580 | 58.98 
2590 | 48.46 
2600 | 19.73 
2610 | 29.63 
2630 | 16.13 
2640 | 37.32 
2645 | 11.47 
2650 | 23.21 
2660 | 23.71 
2670 | 55.08 
2680 | 25.09 
2690 | 42.62 
2700 | 39.70 
2710 | 48.94 
2720 | 34.44 
2730 | 16.10 
2740 | 36.14 
2750 | 27.25 
2760 | 31.86 
2765 | 9.26  
2770 | 64.42 
2780 | 30.28 
2790 | 12.99 
2800 | 44.18 
2810 | 35.02 
2820 | 16.84 
2830 | 29.74 
2840 | 28.80 
2850 | 23.83 
2860 | 43.96 
2870 | 7.07  
2880 | 70.50 
2890 | 76.30 
2900 | 69.54 
2910 | 55.88 
2920 | 32.14 
2930 | 60.83 
2940 | 57.95 
2950 | 70.85 
2960 | 57.87 
