Sequence	Pole Type
2010	DIST-S-02.9-C1-50-0
2020	DIST-S-02.9-C1-50-0
2030	DIST-S-02.9-C1-50-0
2040	DIST-S-02.9-C1-50-0
2050	S-03.5-H1-85
2060	DIST-S-02.9-C1-55-0
2070	DIST-S-02.9-C1-50-0
2080	DIST-S-02.9-C1-50-0
2090	DIST-S-02.9-C1-50-0
2100	DIST-S-02.9-C1-50-0
2110	DIST-S-02.9-C1-50-0
2120	DIST-S-02.9-C1-50-0
2130	DIST-S-02.9-C1-50-0
2140	DIST-S-02.9-C1-50-0
2150	DIST-S-02.9-C1-50-0
2160	DIST-S-02.9-C1-55-0
2170	DIST-S-02.9-C1-50-0
2180	DIST-S-02.9-C1-50-0
2190	DIST-S-02.9-C1-50-0
2200	DIST-S-02.9-C1-55-0
2210	DIST-S-02.9-C1-50-0
2220	DIST-S-02.9-C1-50-0
2230	DIST-S-02.9-C1-50-0
2240	DIST-S-02.9-C1-50-0
2250	DIST-S-02.9-C1-50-0
2260	DIST-S-02.9-C1-50-0
2270	DIST-S-02.9-C1-50-0
2280	DIST-S-02.9-C1-50-0
2285	DIST-S-02.4 / C2-40-0
2290	DIST-S-02.9-C1-45-0
2300	DIST-S-02.9-C1-45-0
2310	DIST-S-02.9-C1-45-0
2320	DIST-S-02.9-C1-50-0
2330	DIST-S-02.9-C1-45-0
2340	DIST-S-02.9-C1-45-0
2350	DIST-S-02.9-C1-50-0
2360	DIST-S-02.9-C1-50-0
2370	DIST-S-02.9-C1-50-0
2380	DIST-S-02.9-C1-50-0
2390	DIST-S-02.9-C1-50-0
2400	DIST-S-02.9-C1-50-0
2410	DIST-S-02.9-C1-50-0
2420	DIST-S-02.9-C1-50-0
2430	DIST-S-02.9-C1-50-0
2440	DIST-S-02.9-C1-50-0
2450	DIST-S-02.9-C1-50-0
2460	DIST-S-02.9-C1-50-0
2470	DIST-S-02.9-C1-50-0
2480	DIST-S-02.9-C1-50-0
2490	DIST-S-02.9-C1-50-0
2500	DIST-S-02.9-C1-45-0
2510	DIST-S-02.9-C1-55-0
2520	DIST-S-02.9-C1-60-0
2530	DIST-S-02.9-C1-50-0
2540	DIST-S-02.9-C1-50-0
2550	DIST-S-02.9-C1-50-0
2560	DIST-S-02.9-C1-50-0
2570	DIST-S-02.9-C1-50-0
2580	DIST-S-02.9-C1-60-0
2590	DIST-S-02.9-C1-50-0
2600	DIST-S-02.9-C1-50-0
2610	DIST-S-02.9-C1-50-0
2630	DIST-S-02.9-C1-50-0
2640	DIST-S-02.9-C1-50-0
2645	DIST-S-02.4 / C2-40-0
2650	DIST-S-02.9-C1-50-0
2660	DIST-S-02.9-C1-55-0
2670	DIST-S-02.9-C1-50-0
2680	DIST-S-02.9-C1-45-0
2690	DIST-S-02.9-C1-50-0
2700	DIST-S-02.9-C1-55-0
2710	DIST-S-02.9-C1-50-0
2720	DIST-S-02.9-C1-50-0
2730	DIST-S-02.9-C1-50-0
2740	DIST-S-02.9-C1-50-0
2750	DIST-S-02.9-C1-50-0
2760	DIST-S-02.9-C1-45-0
2765	DIST-S-02.4 / C2-40-0
2770	DIST-S-02.9-C1-50-0
2780	DIST-S-02.9-C1-55-0
2790	DIST-S-02.9-C1-50-0
2800	DIST-S-02.9-C1-55-0
2810	DIST-S-02.9-C1-50-0
2820	DIST-S-02.9-C1-45-0
2830	DIST-S-02.9-C1-50-0
2840	DIST-S-02.9-C1-45-0
2850	DIST-S-02.9-C1-45-0
2860	DIST-S-02.9-C1-50-0
2870	DIST-S-02.9-C1-50-0
2880	DIST-S-02.9-C1-50-0
2890	DIST-S-02.9-C1-50-0
2900	DIST-S-02.9-C1-55-0
2910	DIST-S-02.9-C1-60-0
2920	DIST-S-02.9-C1-50-0
2930	DIST-S-02.9-C1-50-0
2940	DIST-S-02.9-C1-50-0
2950	DIST-S-02.9-C1-55-0
2960	DIST-S-02.9-C1-55-0
