Sequence	Facility ID	Existing Transformers	Primary Riser	Secondary Riser
2005	None	None	None	None
2010	01339008.0260400	None	None	None
2020	01339008.0260401	25	None	None
2030	01339008.0261402	None	None	None
2040	01339008.0260301	25	Replace	None
2050	01339008.0261302	None	None	None
2060	01339008.0261303	10	None	None
2070	01339008.0261301	None	None	None
2080	01339008.0261300	25	None	None
2090	01339008.0261202	10	None	None
2095	01339008.0261200	None	None	None
2100	01339008.0261203	None	None	None
2110	01339008.0261100	None	None	None
2120	01339008.0261101	None	None	None
2130	01339008.0262000	15	None	None
2140	01339008.0262001	None	None	None
2150	01339008.0262002	None	None	None
2160	01339008.0352901	None	None	None
2170	01339008.0353903	None	None	None
2175	01339008.0352900	None	None	None
2180	01339008.0353900	None	None	None
2190	01339008.0353805	None	None	None
2195	01339008.0353804	None	None	None
2200	01339008.0353803	15	None	None
2210	01339008.0353800	50	None	None
2220	01339008.0354703	15	None	None
2225	01339008.0353700	None	None	None
2230	01339008.0354701	None	None	None
2235	01339008.0354740	None	None	None
2240	01339008.0354700	None	Replace	None
2250	01339008.0354601	50	None	None
2255	01339008.0354600	None	None	None
2260	01339008.0355601	None	None	None
2265	01339008.0355600	None	None	None
2270	01339008.0355502	None	None	None
2280	01339008.0355501	None	None	None
2290	01339008.0355500	None	None	None
2299	TBD	None	None	None
2300	01339008.0355401	25	None	None
2310	01339008.0355400	None	None	None
2320	01339008.0356401	None	None	None
2330	01339008.0356400	None	None	None
2340	01339008.0357403	None	None	None
2345	01339008.0357402	None	None	None
2350	01339008.0357460	None	None	None
2360	01339008.0357561	None	None	None
2370	01339008.0357560	None	None	None
2380	01339008.0356660	None	None	None
2390	01339008.0356661	None	Replace	None
2400	01339008.0356600	25	Replace	None
2410	01339008.0357361	None	None	None
2420	01339008.0357360	None	None	None
2530	01339008.0357260	None	None	None
2531	N/A	None	None	None
2532	N/A	None	None	None
2533	N/A	None	None	None
2534	N/A	None	None	None
2535	01340008.0027960	None	None	None
2536	N/A	None	None	None
2537	N/A	None	None	None
2538	N/A	None	None	None
2540	01339008.0357202	None	None	None
2550	01339008.0357200	None	None	None
2560	01339008.0358101	None	None	None
2570	01339008.0358007	None	None	None
2580	01339008.0358005	10	None	None
2590	01339008.0358000	50	None	None
2600	01339008.0358002	25	None	None
2610	01339008.0358001	None	None	None
2620	01340008.0028903	None	None	None
2630	01340008.0029903	10	None	None
2640	01340008.0029904	25	None	None
2650	01340008.0029909	None	None	None
2660	01340008.0029907	15	None	None
2670	01340008.0029906	None	None	None
2680	01340008.0029905	50	None	None
2690	01340008.0010904	25	None	None
2700	01340008.0010900	25	Replace	None
2710	01340008.0011901	None	None	None
2720	01340008.0011900	None	None	None
2730	01340008.0012901	25	None	None
2740	01340008.0012900	25	None	None
2750	01340008.0013802	None	None	None
2760	01340008.0013801	30	None	None
2770	01340008.0014840	None	None	None
2780	01340008.0014804	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
