Sequence | Type       | Latitude    | Longitude     | Framing                   | Anchor Direction | Lead Length
----------------------------------------------------------------------------------------------------------------
2030 | P1 to PG11 | 42.49361688 | -123.37662024 | EH121                     | W  | 14.75
2030 | P1 to NG12 | 42.49361688 | -123.37662024 | EH121                     | W  | 14.75
2030 | P1 to PG11 | 42.49361688 | -123.37662024 | EH121                     | W  | 14.75
2030 | P1 to NG12 | 42.49361688 | -123.37662024 | EH121                     | W  | 14.75
2040 | P1 to PG11 | 42.49382668 | -123.37553222 | EH131                     | E  | 20.69
2040 | P1 to NG12 | 42.49382668 | -123.37553222 | EH131                     | E  | 20.69
2040 | P1 to PG11 | 42.49382668 | -123.37553222 | EH131                     | E  | 20.69
2040 | P1 to NG12 | 42.49382668 | -123.37553222 | EH131                     | E  | 20.69
2040 | P1 to CM21 | 42.49382116 | -123.37556088 | EH131                     | E  | 12.70
2080 | P1 to P2   | 42.49050946 | -123.37691739 | EJ300 TAN + (2) EH226     | W  | 40.85
2080 | P1 to PG21 | 42.49050902 | -123.37694458 | EJ300 TAN + (2) EH226     | W  | 48.18
2080 | P1 to CM22 | 42.49050902 | -123.37694458 | EJ300 TAN + (2) EH226     | W  | 48.18
2080 | P1 to PG21 | 42.49050902 | -123.37694458 | EJ300 TAN + (2) EH226     | W  | 48.18
2080 | P1 to CM22 | 42.49050902 | -123.37694458 | EJ300 TAN + (2) EH226     | W  | 48.18
2080 | P1 to PG11 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH226     | SE | 7.58 
2080 | P1 to CM12 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH226     | SE | 7.58 
2080 | P1 to PG11 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH226     | SE | 7.58 
2080 | P1 to CM12 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH226     | SE | 7.58 
2090 | P1 to PG11 | 42.49095341 | -123.37772589 | EH131                     | NW | 16.14
2090 | P1 to NG12 | 42.49095341 | -123.37772589 | EH131                     | NW | 16.14
2090 | P1 to PG11 | 42.49095341 | -123.37772589 | EH131                     | NW | 16.14
2090 | P1 to NG12 | 42.49095341 | -123.37772589 | EH131                     | NW | 16.14
2090 | P1 to CM21 | 42.49094526 | -123.37770798 | EH131                     | NW | 10.47
2110 | P1 to PG11 | 42.49056845 | -123.37388568 | EH131                     | E  | 19.42
2110 | P1 to NG12 | 42.49056845 | -123.37388568 | EH131                     | E  | 19.42
2110 | P1 to PG11 | 42.49056845 | -123.37388568 | EH131                     | E  | 19.42
2110 | P1 to NG12 | 42.49056845 | -123.37388568 | EH131                     | E  | 19.42
2110 | P1 to CM21 | 42.49056808 | -123.37390436 | EH131                     | E  | 14.38
2140 | P1 to PG11 | 42.48953345 | -123.37699968 | EH201                     | E  | 27.50
2140 | P1 to PG12 | 42.48953345 | -123.37699968 | EH201                     | E  | 27.50
2140 | P1 to CM21 | 42.48953337 | -123.37701801 | EH201                     | E  | 22.55
2170 | P1 to PG11 | 42.48953927 | -123.38060956 | EH121                     | W  | 31.35
2170 | P1 to NG12 | 42.48953927 | -123.38060956 | EH121                     | W  | 31.35
2170 | P1 to PG11 | 42.48953927 | -123.38060956 | EH121                     | W  | 31.35
2170 | P1 to NG12 | 42.48953927 | -123.38060956 | EH121                     | W  | 31.35
2170 | P1 to CM21 | 42.48953559 | -123.38057607 | EH121                     | W  | 22.36
2180 | P1 to PG11 | 42.48952998 | -123.38050868 | EH111                     | NE | 27.68
2180 | P1 to NG12 | 42.48952998 | -123.38050868 | EH111                     | NE | 27.68
2180 | P1 to PG11 | 42.48952998 | -123.38050868 | EH111                     | NE | 27.68
2180 | P1 to NG12 | 42.48952998 | -123.38050868 | EH111                     | NE | 27.68
2180 | P1 to CM21 | 42.48951870 | -123.38051853 | EH111                     | NE | 22.79
2190 | P1 to PG11 | 42.48863808 | -123.38128778 | EH131                     | SW | 29.85
2190 | P1 to NG12 | 42.48863808 | -123.38128778 | EH131                     | SW | 29.85
2190 | P1 to PG11 | 42.48863808 | -123.38128778 | EH131                     | SW | 29.85
2190 | P1 to NG12 | 42.48863808 | -123.38128778 | EH131                     | SW | 29.85
2190 | P1 to CM21 | 42.48865778 | -123.38127057 | EH131                     | SW | 21.30
2220 | P1 to PG11 | 42.48816769 | -123.37696123 | EH111                     | E  | 23.49
2220 | P1 to NG12 | 42.48816769 | -123.37696123 | EH111                     | E  | 23.49
2220 | P1 to PG11 | 42.48816769 | -123.37696123 | EH111                     | E  | 23.49
2220 | P1 to NG12 | 42.48816769 | -123.37696123 | EH111                     | E  | 23.49
2220 | P1 to CM21 | 42.48816726 | -123.37697966 | EH111                     | E  | 18.52
2230 | P1 to PG11 | 42.48814042 | -123.37813641 | EH131                     | W  | 21.77
2230 | P1 to NG12 | 42.48814042 | -123.37813641 | EH131                     | W  | 21.77
2230 | P1 to PG11 | 42.48814042 | -123.37813641 | EH131                     | W  | 21.77
2230 | P1 to NG12 | 42.48814042 | -123.37813641 | EH131                     | W  | 21.77
2250 | P1 to PG11 | 42.48773226 | -123.37665644 | EH121                     | W  | 25.45
2250 | P1 to NG12 | 42.48773226 | -123.37665644 | EH121                     | W  | 25.45
2250 | P1 to PG11 | 42.48773226 | -123.37665644 | EH121                     | W  | 25.45
2250 | P1 to NG12 | 42.48773226 | -123.37665644 | EH121                     | W  | 25.45
2280 | P1 to PG11 | 42.48773756 | -123.37184404 | EH121                     | E  | 26.55
2280 | P1 to NG12 | 42.48773756 | -123.37184404 | EH121                     | E  | 26.55
2280 | P1 to PG11 | 42.48773756 | -123.37184404 | EH121                     | E  | 26.55
2280 | P1 to NG12 | 42.48773756 | -123.37184404 | EH121                     | E  | 26.55
2280 | P1 to SE21 | 42.48780704 | -123.37194283 | EH121                     | N  | 25.37
2285 | P1 to PG11 | 42.48712854 | -123.37193963 | EG371                     | S  | 24.56
2285 | P1 to SE12 | 42.48712854 | -123.37193963 | EG371                     | S  | 24.56
2285 | P1 to PG11 | 42.48712854 | -123.37193963 | EG371                     | S  | 24.56
2285 | P1 to SE12 | 42.48712854 | -123.37193963 | EG371                     | S  | 24.56
2290 | P1 to PG11 | 42.48882371 | -123.37193344 | EH121 + EH221             | N  | 31.66
2290 | P1 to NG12 | 42.48882371 | -123.37193344 | EH121 + EH221             | N  | 31.66
2290 | P1 to PG11 | 42.48882371 | -123.37193344 | EH121 + EH221             | N  | 31.66
2290 | P1 to NG12 | 42.48882371 | -123.37193344 | EH121 + EH221             | N  | 31.66
2290 | P1 to PG21 | 42.48873807 | -123.37187690 | EH121 + EH221             | E  | 15.45
2290 | P1 to NG22 | 42.48873807 | -123.37187690 | EH121 + EH221             | E  | 15.45
2290 | P1 to PG21 | 42.48873807 | -123.37187690 | EH121 + EH221             | E  | 15.45
2290 | P1 to NG22 | 42.48873807 | -123.37187690 | EH121 + EH221             | E  | 15.45
2300 | P1 to PG11 | 42.48871352 | -123.37297586 | EH131                     | W  | 17.61
2300 | P1 to NG12 | 42.48871352 | -123.37297586 | EH131                     | W  | 17.61
2300 | P1 to PG11 | 42.48871352 | -123.37297586 | EH131                     | W  | 17.61
2300 | P1 to NG12 | 42.48871352 | -123.37297586 | EH131                     | W  | 17.61
2310 | P1 to PG11 | 42.48885669 | -123.37185129 | EH121                     | W  | 14.06
2310 | P1 to NG12 | 42.48885669 | -123.37185129 | EH121                     | W  | 14.06
2310 | P1 to PG11 | 42.48885669 | -123.37185129 | EH121                     | W  | 14.06
2310 | P1 to NG12 | 42.48885669 | -123.37185129 | EH121                     | W  | 14.06
2320 | P1 to PG11 | 42.48882476 | -123.37092771 | EH101 + EH221             | E  | 16.97
2320 | P1 to NG12 | 42.48882476 | -123.37092771 | EH101 + EH221             | E  | 16.97
2320 | P1 to PG11 | 42.48882476 | -123.37092771 | EH101 + EH221             | E  | 16.97
2320 | P1 to NG12 | 42.48882476 | -123.37092771 | EH101 + EH221             | E  | 16.97
2330 | P1 to PG11 | 42.48950886 | -123.37100237 | EH131                     | N  | 22.43
2330 | P1 to NG12 | 42.48950886 | -123.37100237 | EH131                     | N  | 22.43
2330 | P1 to PG11 | 42.48950886 | -123.37100237 | EH131                     | N  | 22.43
2330 | P1 to NG12 | 42.48950886 | -123.37100237 | EH131                     | N  | 22.43
2340 | P1 to PG11 | 42.48825282 | -123.37097024 | EH131                     | S  | 15.16
2340 | P1 to NG12 | 42.48825282 | -123.37097024 | EH131                     | S  | 15.16
2340 | P1 to PG11 | 42.48825282 | -123.37097024 | EH131                     | S  | 15.16
2340 | P1 to NG12 | 42.48825282 | -123.37097024 | EH131                     | S  | 15.16
2360 | P1 to PG11 | 42.48646523 | -123.37653938 | EH111                     | W  | 39.85
2360 | P1 to NG12 | 42.48646523 | -123.37653938 | EH111                     | W  | 39.85
2360 | P1 to PG11 | 42.48646523 | -123.37653938 | EH111                     | W  | 39.85
