Section #	Sequence #s	Total Span Length	Circuit Type
2	2020  - 2030	85.56	5R234-1/0 ACSR-Neutral
6	2130  - 2140	100.07	5R234-1/0 ACSR-Neutral
9	2210  - 2220	104.38	5R234-1/0 ACSR-Neutral
12	2350  - 2360	108.83	5R234-1/0 ACSR-Neutral
15	2420  - 2430	93.29	5R234-1/0 ACSR-Neutral
24	2670  - 2760	635.53	5R234-1/0 ACSR-Neutral
25	2670  - 2680	140.77	5R234-1/0 ACSR-Neutral
31	2730  - 2750	279.63	5R234-1/0 ACSR-Neutral
35	2760  - 2790	228.65	5R234-1/0 ACSR-Neutral
36	2760  - 2770	64.58	5R234-1/0 ACSR-Neutral
40	2760  - 2765	45.62	Span Guy 
41	2760  - 2765	53.43	Span Guy 
42	2760  - 2765	49.669999999999995	Span Guy 
45	2790  - 2880	173.62	5R234-1/0 ACSR-Neutral
46	2790  - 2810	624.25	5R234-1/0 ACSR-Neutral
48	2880  - 2890	92.35	5R234-1/0 ACSR-Neutral
51	2030  - 2040	276.17999999999995	5R234-1/0 ACSR-Neutral
54	2090  - 2080	298.24	5R234-1/0 ACSR-Neutral
57	2110  - 2080	791.17	5R234-1/0 ACSR-Neutral
60	2140  - 2150	378.11	5R234-1/0 ACSR-Neutral
63	2150  - 2170	571.49	5R234-1/0 ACSR-Neutral
67	2170  - 2180	36.0	5R234-1/0 ACSR-Neutral
70	2180  - 2190	339.78000000000003	5R234-1/0 ACSR-Neutral
73	2220  - 2230	280.64	5R234-1/0 ACSR-Neutral
76	2280  - 2250	1315.16	5R234-1/0 ACSR-Neutral
78	2250  - 2240	119.5	5R234-1/0 ACSR-Neutral
80	2300  - 2290	271.48	5R234-1/0 ACSR-Neutral
82	2290  - 2280	378.43	5R234-1/0 ACSR-Neutral
84	2285  - 2280	220.76	Span Guy 
85	2285  - 2280	220.44	Span Guy 
87	2320  - 2310	222.78	5R234-1/0 ACSR-Neutral
89	2310  - 2290	62.33	5R234-1/0 ACSR-Neutral
91	2410  - 2390	345.72999999999996	5R234-1/0 ACSR-Neutral
94	2390  - 2350	114.86	5R234-1/0 ACSR-Neutral
97	2360  - 2380	424.81	5R234-1/0 ACSR-Neutral
100	2430  - 2440	303.64	5R234-1/0 ACSR-Neutral
103	2440  - 2450	289.89	5R234-1/0 ACSR-Neutral
106	2530  - 2470	910.97	5R234-1/0 ACSR-Neutral
109	2490  - 2500	114.14999999999999	5R234-1/0 ACSR-Neutral
111	2540  - 2630	446.65	5R234-1/0 ACSR-Neutral
113	2630  - 2640	223.0	5R234-1/0 ACSR-Neutral
115	2640  - 2660	149.28	5R234-1/0 ACSR-Neutral
116	2640  - 2645	52.620000000000005	Span Guy 
117	2640  - 2645	52.51	Span Guy 
119	2600  - 2590	184.34	5R234-1/0 ACSR-Neutral
121	2590  - 2580	80.71000000000001	5R234-1/0 ACSR-Neutral
123	2650  - 2640	356.9	5R234-1/0 ACSR-Neutral
125	2770  - 2780	199.53	5R234-1/0 ACSR-Neutral
128	2810  - 2820	237.29999999999998	5R234-1/0 ACSR-Neutral
130	2850  - 2840	182.45	5R234-1/0 ACSR-Neutral
133	2890  - 2930	398.33	5R234-1/0 ACSR-Neutral
137	2930  - 2940	64.7	5R234-1/0 ACSR-Neutral
140	2940  - 2960	374.04	5R234-1/0 ACSR-Neutral
145	2330  - 2340	247.26	5R234-1/0 ACSR-Neutral
148	1210 (M1)  - 2670	1366.62	5R234-1/0 ACSR-Neutral
