Sequence #	Element Label	Element Type	Maximum Usage
2080	PG21	Guy	82.20
2080	CM22	Guy	82.68
2080	PG11	Guy	64.68
2080	CM12	Guy	66.63
2470	PG11	Guy	50.10
2470	CM21	Guy	29.95
2470	NG12	Guy	39.04
2670	PG11	Guy	72.61
2670	NG12	Guy	83.43
2670	PG21	Guy	84.44
2670	PG22	Guy	86.92
2670	PG31	Guy	63.60
2670	PG32	Guy	70.35
2700	SE11	Guy	39.38
2730	PG11	Guy	34.98
2730	PG12	Guy	32.88
2730	PG13	Guy	31.73
2790	PG11	Guy	40.17
2790	NG12	Guy	31.84
2790	CM13	Guy	24.64
2790	PG21	Guy	14.21
2790	PG22	Guy	13.74
2790	CM23	Guy	13.31
2840	PG11	Guy	55.44
2840	NG12	Guy	60.97
2870	PG11	Guy	16.29
2870	NG12	Guy	17.68
2880	PG11	Guy	51.24
2880	PG12	Guy	55.43
2030	PG11	Guy	63.65
2030	NG12	Guy	70.41
2040	PG11	Guy	42.05
2040	CM21	Guy	30.14
2040	NG12	Guy	38.86
2090	PG11	Guy	49.85
2090	CM21	Guy	39.01
2090	NG12	Guy	49.99
2110	PG11	Guy	51.33
2110	CM21	Guy	42.79
2110	NG12	Guy	49.54
2140	PG11	Guy	38.91
2140	PG12	Guy	37.04
2140	CM21	Guy	34.75
2170	PG11	Guy	31.00
2170	CM21	Guy	27.85
2170	NG12	Guy	29.74
2180	PG11	Guy	45.57
2180	CM21	Guy	25.99
2180	NG12	Guy	41.84
2190	PG11	Guy	37.79
2190	CM21	Guy	30.29
2190	NG12	Guy	33.10
2220	PG11	Guy	39.10
2220	CM21	Guy	27.50
2220	NG12	Guy	32.95
2230	PG11	Guy	44.91
2230	NG12	Guy	51.15
2280	PG11	Guy	42.22
2280	SE21	Guy	7.13
2280	NG12	Guy	33.72
2250	PG11	Guy	41.58
2250	NG12	Guy	37.98
2300	PG11	Guy	40.19
2300	NG12	Guy	34.66
2290	PG11	Guy	34.97
2290	PG21	Guy	35.58
2290	NG12	Guy	28.42
2290	NG22	Guy	35.32
2285	PG11	Guy	32.35
2285	SE12	Guy	37.04
2320	PG11	Guy	40.38
2320	NG12	Guy	34.32
2310	PG11	Guy	41.70
2310	NG12	Guy	42.52
2410	PG11	Guy	43.55
2410	CM21	Guy	34.63
2410	NG12	Guy	40.64
2390	PG11	Guy	55.22
2390	CM21	Guy	46.95
2390	NG12	Guy	60.95
2360	PG11	Guy	38.38
2360	NG12	Guy	43.80
2360	CM21	Guy	21.99
2370	CM11	Guy	39.94
2380	PG11	Guy	59.41
2380	NG12	Guy	55.71
2430	PG11	Guy	31.62
2430	CM21	Guy	25.62
2430	NG12	Guy	27.44
2440	PG11	Guy	49.30
2440	NG12	Guy	45.93
2440	PG21	Guy	34.07
2440	NG22	Guy	26.63
2440	CM31	Guy	26.49
2450	PG11	Guy	49.28
2450	NG12	Guy	44.64
2530	PG11	Guy	50.56
2530	NG12	Guy	51.50
2530	CM21	Guy	38.07
2490	CM11	Guy	19.70
2540	PG11	Guy	57.65
2540	PG12	Guy	52.22
2630	PG11	Guy	51.07
2630	PG21	Guy	26.85
2630	NG12	Guy	52.78
2630	NG22	Guy	23.33
2660	PG11	Guy	46.25
2660	NG12	Guy	44.68
2600	PG11	Guy	34.08
2600	NG12	Guy	28.27
2590	PG11	Guy	29.68
2590	NG12	Guy	27.33
2645	PG11	Guy	49.70
2645	NG12	Guy	55.26
2650	PG11	Guy	55.15
2650	NG12	Guy	50.75
2680	PG11	Guy	48.22
2680	NG12	Guy	56.94
2765	PG11	Guy	16.67
2765	NG12	Guy	17.25
2765	CM13	Guy	18.51
2770	PG11	Guy	61.01
2770	CM13	Guy	60.86
2770	NG12	Guy	61.27
2780	PG11	Guy	61.96
2780	CM21	Guy	42.71
2780	NG12	Guy	65.84
2810	PG11	Guy	59.86
2810	NG12	Guy	62.56
2820	PG11	Guy	42.97
2820	NG12	Guy	37.45
2850	PG11	Guy	52.83
2850	NG12	Guy	55.65
2890	PG11	Guy	38.50
2890	CM21	Guy	41.02
2890	NG12	Guy	41.79
2900	CM11	Guy	48.34
2930	PG11	Guy	41.34
2930	CM21	Guy	33.90
2930	NG12	Guy	41.83
2940	PG11	Guy	36.27
2940	CM21	Guy	31.09
2940	NG12	Guy	34.11
2950	CM11	Guy	2.47
2960	PG11	Guy	42.61
2960	NG12	Guy	53.56
2330	PG11	Guy	33.34
2330	NG12	Guy	26.21
2340	PG11	Guy	40.58
2340	NG12	Guy	35.15
2750	PG11	Guy	31.87
2750	CM21	Guy	22.68
2750	NG12	Guy	26.24
