Sequence	Facility ID	Existing Transformers	Primary Riser	Secondary Riser
2010	01335006.0265200	None	Replace	None
2020	01335006.0265100	None	None	None
2030	01335006.0265101	None	None	None
2040	01335006.0265102	25	Replace	None
2050	01335006.0265160	None	None	None
2060	01335006.0265001	25	Replace	None
2070	01335006.0265000	25	None	Replace
2080	01335006.0355901	None	None	None
2085	01335006.0354901	None	None	None
2090	01335006.0354900	25	None	None
2100	01335006.0355900	10	None	None
2110	01335006.0356900	25	Replace	Replace
2120	01335006.0355902	None	None	None
2130	01335006.0355801	10	None	None
2140	01335006.0354801	None	None	None
2150	01335006.0354800	15	None	Replace
2160	01335006.0353803	None	None	None
2170	01335006.0353800	37.5	None	Replace
2180	01335006.0353801	None	None	Replace
2190	01335006.0352800	25	None	None
2200	01335006.0354802	25	Replace	Replace
2210	01335006.0354703	None	None	None
2220	01335006.0354702	50	None	Replace
2230	01335006.0354701	25	None	None
2240	01335006.0354704	25	None	None
2250	01335006.0355740	None	None	None
2260	01335006.0355741	25	None	Replace
2270	01335006.0356740	None	None	None
2280	01335006.0357715	15	None	None
2285	01335006.0357704	None	None	None
2290	01335006.0357800	None	None	None
2300	01335006.0356800	10	None	None
2310	01335006.0357801	None	None	None
2320	01335006.0357802	10	None	None
2330	01335006.0358800	37.5	None	None
2340	01335006.0357701	37.5	None	None
2350	01335006.0354602	None	None	None
2360	01335006.0355603	None	None	None
2370	01335006.0355600	25	None	Replace
2380	01335006.0356600	25	None	Replace
2390	01335006.0354601	15	None	None
2400	01335006.0354600	None	None	None
2410	01335006.0353600	25	None	None
2420	01335006.0354604	37.5	None	None
2430	01335006.0355501	None	None	None
2440	01335006.0355602	10	None	None
2450	01335006.0356500	15	None	None
2460	01335006.0354500	50	None	Replace
2470	01335006.0354502	25	None	None
2480	01335006.0354501	None	None	Replace
2490	01335006.0353501	None	None	None
2500	01335006.0353400	25	None	Replace
2510	01335006.0353500	25	None	Replace
2520	01335006.0352501	15	None	None
2530	01335006.0352500	10	None	None
2540	01335006.0355500	None	None	None
2550	01335006.0355503	None	None	None
2560	01335006.0356502	25	None	Replace
2570	01335006.0356501	10	None	Replace
2580	01335006.0357501	75	None	None
2590	01335006.0357402	None	None	None
2600	01335006.0357401	25	None	None
2610	01335006.0357500	None	None	None
2630	01335006.0358504	None	None	Replace
2640	01335006.0358502	None	None	Replace
2645	01335006.0358501	None	None	None
2650	01335006.0359500	10	None	None
2660	01335006.0358500	25	None	Replace
2670	01335006.0354402	None	None	None
2680	01335006.0354401	15	None	None
2690	01335006.0354301	None	None	None
2700	01335006.0354302	25	None	Replace
2710	01335006.0354300	None	None	Replace
2720	01335006.0354202	15	None	None
2730	01335006.0354203	None	None	None
2735	01335006.0354204	None	None	None
2740	01335006.0355202	None	None	None
2750	01335006.0355203	25	None	None
2760	01335006.0354206	25	None	None
2765	01335006.0354205	None	None	None
2770	01335006.0354207	None	None	None
2780	01335006.0355100	15	None	Replace
2790	01335006.0354104	None	None	None
2800	01335006.0354102	15	None	None
2810	01335006.0354101	None	None	None
2820	01335006.0353100	15	None	None
2830	01335006.0355101	25	None	None
2840	01335006.0355102	None	Replace	None
2850	01335006.0354105	15	None	None
2860	01335006.0355000	10	None	Replace
2870	01335006.0355002	25	None	None
2880	01335006.0355004	10	None	None
2885	01335006.0355005	None	None	None
2890	01335006.0355003	None	None	None
2900	01335006.0356001	50	None	Replace
2910	01335006.0356000	None	None	Replace
2920	01335006.0357003	25	None	Replace
2930	01335006.0357002	None	None	None
2940	01335006.0357001	None	None	None
2950	01335006.0357000	10	None	None
2960	01335006.0357101	25	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
None	None	None	None	None
