Section # | Structure -> Structure                | Circuit Type       | Circuit Value | Span Length | Result   | Sequences                                                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1   | 2020  -> 2030                         | 5R234-1/0 ACSR-1PH | 1 | 77.90   | 77.90    | 2020                                                                                          
5   | 2130  -> 2140                         | 5R234-1/0 ACSR-1PH | 1 | 88.30   | 88.30    | 2130                                                                                          
8   | 2210  -> 2220                         | 5R234-1/0 ACSR-1PH | 1 | 89.10   | 89.10    | 2210                                                                                          
11  | 2350  -> 2360                         | 5R234-1/0 ACSR-1PH | 1 | 93.00   | 93.00    | 2350                                                                                          
14  | 2420  -> 2430                         | 5R234-1/0 ACSR-1PH | 1 | 83.40   | 83.40    | 2420                                                                                          
22  | 2670  -> 2760                         | 5R234-1/0 ACSR-1PH | 1 | 1208.50 | 1208.50  | 2670, 2690, 2700, 2710, 2720, 2730                                                            
23  | 2670  -> 2680                         | 5R234-1/0 ACSR-1PH | 1 | 138.80  | 138.80   | 2670                                                                                          
30  | 2730  -> 2750                         | 5R234-1/0 ACSR-1PH | 1 | 462.10  | 462.10   | 2730, 2740                                                                                    
33  | 2760  -> 2790                         | 5R234-1/0 ACSR-1PH | 1 | 223.10  | 223.10   | 2760                                                                                          
34  | 2760  -> 2770                         | 5R234-1/0 ACSR-1PH | 1 | 57.30   | 57.30    | 2760                                                                                          
43  | 2790  -> 2880                         | 5R234-1/0 ACSR-1PH | 1 | 959.80  | 959.80   | 2790, 2830, 2840, 2860, 2870                                                                  
44  | 2790  -> 2810                         | 5R234-1/0 ACSR-1PH | 1 | 606.40  | 606.40   | 2790, 2800                                                                                    
47  | 2880  -> 2890                         | 5R234-1/0 ACSR-1PH | 1 | 79.50   | 79.50    | 2880                                                                                          
50  | 2030  -> 2040                         | 5R234-1/0 ACSR-1PH | 1 | 267.00  | 267.00   | 2030                                                                                          
53  | 2090  -> 2080                         | 5R234-1/0 ACSR-1PH | 1 | 286.90  | 286.90   | 2090                                                                                          
56  | 2110  -> 2080                         | 5R234-1/0 ACSR-1PH | 1 | 756.80  | 756.80   | 2110, 2100                                                                                    
59  | 2140  -> 2150                         | 5R234-1/0 ACSR-1PH | 1 | 363.20  | 363.20   | 2140                                                                                          
62  | 2150  -> 2170                         | 5R234-1/0 ACSR-1PH | 1 | 549.90  | 549.90   | 2150, 2160                                                                                    
66  | 2170  -> 2180                         | 5R234-1/0 ACSR-1PH | 1 | 32.10   | 32.10    | 2170                                                                                          
69  | 2180  -> 2190                         | 5R234-1/0 ACSR-1PH | 1 | 328.70  | 328.70   | 2180                                                                                          
72  | 2220  -> 2230                         | 5R234-1/0 ACSR-1PH | 1 | 271.10  | 271.10   | 2220                                                                                          
75  | 2280  -> 2250                         | 5R234-1/0 ACSR-1PH | 1 | 1244.80 | 1244.80  | 2280, 2270, 2260                                                                              
77  | 2250  -> 2240                         | 5R234-1/0 ACSR-1PH | 1 | 105.60  | 105.60   | 2250                                                                                          
79  | 2300  -> 2290                         | 5R234-1/0 ACSR-1PH | 1 | 262.70  | 262.70   | 2300                                                                                          
81  | 2290  -> 2280                         | 5R234-1/0 ACSR-1PH | 1 | 363.40  | 363.40   | 2290                                                                                          
86  | 2320  -> 2310                         | 5R234-1/0 ACSR-1PH | 1 | 217.60  | 217.60   | 2320                                                                                          
88  | 2310  -> 2290                         | 5R234-1/0 ACSR-1PH | 1 | 55.70   | 55.70    | 2310                                                                                          
90  | 2410  -> 2390                         | 5R234-1/0 ACSR-1PH | 1 | 635.30  | 635.30   | 2410, 2400                                                                                    
93  | 2390  -> 2350                         | 5R234-1/0 ACSR-1PH | 1 | 97.60   | 97.60    | 2390                                                                                          
96  | 2360  -> 2380                         | 5R234-1/0 ACSR-1PH | 1 | 772.80  | 772.80   | 2360, 2370                                                                                    
99  | 2430  -> 2440                         | 5R234-1/0 ACSR-1PH | 1 | 291.80  | 291.80   | 2430                                                                                          
102 | 2440  -> 2450                         | 5R234-1/0 ACSR-1PH | 1 | 279.40  | 279.40   | 2440                                                                                          
105 | 2530  -> 2470                         | 5R234-1/0 ACSR-1PH | 1 | 1525.10 | 1525.10  | 2530, 2520, 2510, 2490, 2480                                                                  
108 | 2490  -> 2500                         | 5R234-1/0 ACSR-1PH | 1 | 101.30  | 101.30   | 2490                                                                                          
110 | 2540  -> 2630                         | 5R234-1/0 ACSR-1PH | 1 | 1874.80 | 1874.80  | 2540, 2550, 2560, 2570, 2580, 2610                                                            
112 | 2630  -> 2640                         | 5R234-1/0 ACSR-1PH | 1 | 217.80  | 217.80   | 2630                                                                                          
114 | 2640  -> 2660                         | 5R234-1/0 ACSR-1PH | 1 | 147.20  | 147.20   | 2640                                                                                          
118 | 2600  -> 2590                         | 5R234-1/0 ACSR-1PH | 1 | 181.10  | 181.10   | 2600                                                                                          
120 | 2590  -> 2580                         | 5R234-1/0 ACSR-1PH | 1 | 71.50   | 71.50    | 2590                                                                                          
122 | 2650  -> 2640                         | 5R234-1/0 ACSR-1PH | 1 | 343.80  | 343.80   | 2650                                                                                          
124 | 2770  -> 2780                         | 5R234-1/0 ACSR-1PH | 1 | 195.60  | 195.60   | 2770                                                                                          
127 | 2810  -> 2820                         | 5R234-1/0 ACSR-1PH | 1 | 231.20  | 231.20   | 2810                                                                                          
129 | 2850  -> 2840                         | 5R234-1/0 ACSR-1PH | 1 | 179.30  | 179.30   | 2850                                                                                          
132 | 2890  -> 2930                         | 5R234-1/0 ACSR-1PH | 1 | 906.70  | 906.70   | 2890, 2900, 2910, 2920                                                                        
136 | 2930  -> 2940                         | 5R234-1/0 ACSR-1PH | 1 | 55.60   | 55.60    | 2930                                                                                          
139 | 2940  -> 2960                         | 5R234-1/0 ACSR-1PH | 1 | 595.50  | 595.50   | 2940, 2950                                                                                    
