Sequence | Type       | Latitude    | Longitude     | Framing                           | Anchor Direction | Lead Length
------------------------------------------------------------------------------------------------------------------------
2010 | P1         | 42.49451432 | -123.37674990 | EJ300 TAN                         |    | 0.00 
2020 | P1         | 42.49378777 | -123.37676185 | EJ300 TAN + EH421                 |    | 0.00 
2030 | P1 to PG11 | 42.49361688 | -123.37662024 | EH121                             | SW | 14.75
2030 | P1 to NG12 | 42.49361688 | -123.37662024 | EH121                             | SW | 14.75
2030 | P1 to CM13 | 42.49362343 | -123.37658630 | EH121                             | SW | 5.29 
2040 | P1 to PG11 | 42.49382668 | -123.37553222 | EH131                             | NE | 20.69
2040 | P1 to NG12 | 42.49382668 | -123.37553222 | EH131                             | NE | 20.69
2040 | P1 to CM21 | 42.49382116 | -123.37556088 | EH131                             | NE | 12.70
2050 | P1         | 42.49327505 | -123.37676442 | 115kV TF200 + EJ300 TAN H1-85_0-1 |    | 0.00 
2060 | P1         | 42.49270716 | -123.37676269 | EJ300 TAN TU450.55                |    | 0.00 
2070 | P1         | 42.49160060 | -123.37676906 | EJ300 TAN                         |    | 0.00 
2080 | P1 to P2   | 42.49050946 | -123.37691739 | EJ300 TAN + (2) EH421             | SW | 40.85
2080 | P1 to PG21 | 42.49050902 | -123.37694443 | EJ300 TAN + (2) EH421             | SW | 48.14
2080 | P1 to CM22 | 42.49050902 | -123.37694443 | EJ300 TAN + (2) EH421             | SW | 48.14
2080 | P1 to PG11 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH421             | SE | 7.58 
2080 | P1 to CM12 | 42.49050607 | -123.37674220 | EJ300 TAN + (2) EH421             | SE | 7.58 
2090 | P1 to PG11 | 42.49095341 | -123.37772589 | EH131                             | NW | 16.14
2090 | P1 to NG12 | 42.49095341 | -123.37772589 | EH131                             | NW | 16.14
2090 | P1 to CM21 | 42.49094526 | -123.37770798 | EH131                             | NW | 10.47
2100 | P1         | 42.49054184 | -123.37524286 | EH101                             |    | 0.00 
2110 | P1 to PG11 | 42.49056733 | -123.37390591 | EH131                             | E  | 13.96
2110 | P1 to CM13 | 42.49056733 | -123.37390591 | EH131                             | E  | 13.96
2110 | P1 to NG12 | 42.49056733 | -123.37390591 | EH131                             | E  | 13.96
2120 | P1         | 42.49002213 | -123.37676638 | EJ300 TAN                         |    | 0.00 
2130 | P1         | 42.48954627 | -123.37677197 | EJ300 TAN + EH421                 |    | 0.00 
2140 | P1 to PG11 | 42.48953345 | -123.37699968 | EH201                             | E  | 27.50
2140 | P1 to NG12 | 42.48953345 | -123.37699968 | EH201                             | E  | 27.50
2140 | P1 to CM21 | 42.48953337 | -123.37701801 | EH201                             | E  | 22.55
2150 | P1         | 42.48952731 | -123.37845135 | EH101                             |    | 0.00 
2160 | P1         | 42.48953597 | -123.37929218 | EH101                             |    | 0.00 
2170 | P1 to PG11 | 42.48953927 | -123.38060956 | EH121                             | W  | 31.35
2170 | P1 to NG12 | 42.48953927 | -123.38060956 | EH121                             | W  | 31.35
2170 | P1 to CM21 | 42.48953559 | -123.38057607 | EH121                             | SW | 22.36
2180 | P1 to PG11 | 42.48952998 | -123.38050868 | EH111                             | NE | 27.68
2180 | P1 to NG12 | 42.48952998 | -123.38050868 | EH111                             | NE | 27.68
2180 | P1 to CM21 | 42.48951870 | -123.38051853 | EH111                             | NE | 22.79
2190 | P1 to PG11 | 42.48864640 | -123.38128051 | EH131                             | SW | 26.24
2190 | P1 to NG12 | 42.48864640 | -123.38128051 | EH131                             | SW | 26.24
2190 | P1 to CM21 | 42.48865778 | -123.38127057 | EH131                             | SW | 21.30
2200 | P1         | 42.48890060 | -123.37676610 | EJ300 TAN TU450.55                |    | 0.00 
2210 | P1         | 42.48830587 | -123.37677439 | EJ300 TAN + EH421                 |    | 0.00 
2220 | P1 to PG11 | 42.48816725 | -123.37698025 | EH111                             | E  | 18.36
2220 | P1 to CM21 | 42.48816725 | -123.37698025 | EH111                             | E  | 18.36
2220 | P1 to NG12 | 42.48816725 | -123.37698025 | EH111                             | E  | 18.36
2230 | P1 to PG11 | 42.48814088 | -123.37811754 | EH131                             | W  | 16.68
2230 | P1 to NG12 | 42.48814088 | -123.37811754 | EH131                             | W  | 16.68
2230 | P1 to CM21 | 42.48814133 | -123.37809885 | EH131                             | W  | 11.64
2240 | P1         | 42.48748373 | -123.37676850 | EJ300 TAN + EH421                 |    | 0.00 
2250 | P1 to PG11 | 42.48773226 | -123.37665644 | EH121                             | W  | 25.45
2250 | P1 to NG12 | 42.48773226 | -123.37665644 | EH121                             | W  | 25.45
2260 | P1         | 42.48773213 | -123.37527445 | EH101                             |    | 0.00 
2270 | P1         | 42.48773470 | -123.37360457 | EH101                             |    | 0.00 
2280 | P1 to PG11 | 42.48773756 | -123.37184404 | EH121                             | E  | 26.55
2280 | P1 to NG12 | 42.48773756 | -123.37184404 | EH121                             | E  | 26.55
2280 | P1 to SE21 | 42.48780704 | -123.37194283 | EH121                             | N  | 25.37
2285 | P1 to PG11 | 42.48712869 | -123.37193963 | EG371                             | S  | 24.50
2285 | P1 to SE12 | 42.48712869 | -123.37193963 | EG371                             | S  | 24.50
2290 | P1 to PG11 | 42.48882371 | -123.37193344 | EH121 + EH221                     | N  | 31.66
2290 | P1 to NG12 | 42.48882371 | -123.37193344 | EH121 + EH221                     | N  | 31.66
2290 | P1 to PG21 | 42.48873807 | -123.37187690 | EH121 + EH221                     | E  | 15.45
2290 | P1 to NG22 | 42.48873807 | -123.37187690 | EH121 + EH221                     | E  | 15.45
2300 | P1 to PG11 | 42.48871352 | -123.37297586 | EH131                             | W  | 17.61
