Sequence | Label | Type      | Grade
----------------------------------------
2010     | P1    | Steel Pole | B
2010     | U4p   | Post       | B
2010     | P1    | Pole Deflection | B
2010     | P1    | Steel Pole | B
2010     | U1p   | Post       | B
2010     | P1    | Pole Deflection | B
2010     | P1    | Steel Pole | C
2010     | U4p   | Post       | C
2010     | P1    | Pole Deflection | C
2010     | P1    | Steel Pole | C
2010     | U1p   | Post       | C
2010     | P1    | Pole Deflection | C
2010     | P1    | Steel Pole | C
2010     | U4p   | Post       | C
2010     | P1    | Pole Deflection | C
2010     | P1    | Steel Pole | C
2010     | U1p   | Post       | C
2010     | P1    | Pole Deflection | C
2020     | P1    | Steel Pole | B
2020     | U4p   | Post       | B
2020     | P1    | Pole Deflection | B
2020     | P1    | Steel Pole | B
2020     | U4p   | Post       | B
2020     | P1    | Pole Deflection | B
2020     | P1    | Steel Pole | C
2020     | U4p   | Post       | C
2020     | P1    | Pole Deflection | C
2020     | P1    | Steel Pole | C
2020     | U4p   | Post       | C
2020     | P1    | Pole Deflection | C
2020     | P1    | Steel Pole | C
2020     | U4p   | Post       | C
2020     | P1    | Pole Deflection | C
2020     | P1    | Steel Pole | C
2020     | U4p   | Post       | C
2020     | P1    | Pole Deflection | C
2050     | P1    | Steel Pole | B
2050     | T1    | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | B
2050     | U4p   | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | B
2050     | U4p   | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | B
2050     | U4p   | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | B
2050     | T1    | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | B
2050     | T1    | Post       | B
2050     | P1    | Pole Deflection | B
2050     | P1    | Steel Pole | C
2050     | T1    | Post       | C
2050     | P1    | Pole Deflection | C
2050     | P1    | Steel Pole | C
2050     | T1    | Post       | C
2050     | P1    | Pole Deflection | C
2050     | P1    | Steel Pole | C
2050     | U4p   | Post       | C
2050     | P1    | Pole Deflection | C
2050     | P1    | Steel Pole | C
2050     | U4p   | Post       | C
2050     | P1    | Pole Deflection | C
2060     | P1    | FRP Pole   | B
2060     | C2-c1 | Clamp      | B
2060     | P1    | Pole Deflection | B
2060     | P1    | FRP Pole   | B
2060     | C2-c1 | Clamp      | B
2060     | P1    | Pole Deflection | B
2060     | P1    | FRP Pole   | C
2060     | C2-c1 | Clamp      | C
2060     | P1    | Pole Deflection | C
2060     | P1    | FRP Pole   | C
2060     | C2-c1 | Clamp      | C
2060     | P1    | Pole Deflection | C
2060     | P1    | FRP Pole   | C
2060     | C2-c1 | Clamp      | C
2060     | P1    | Pole Deflection | C
2060     | P1    | FRP Pole   | C
2060     | C2-c1 | Clamp      | C
2060     | P1    | Pole Deflection | C
2070     | P1    | Steel Pole | B
2070     | U4p   | Post       | B
2070     | P1    | Pole Deflection | B
2070     | P1    | Steel Pole | B
2070     | U4p   | Post       | B
2070     | P1    | Pole Deflection | B
2070     | P1    | Steel Pole | C
2070     | U4p   | Post       | C
2070     | P1    | Pole Deflection | C
2070     | P1    | Steel Pole | C
2070     | U4p   | Post       | C
2070     | P1    | Pole Deflection | C
2070     | P1    | Steel Pole | C
2070     | U4p   | Post       | C
2070     | P1    | Pole Deflection | C
2070     | P1    | Steel Pole | C
2070     | U4p   | Post       | C
2070     | P1    | Pole Deflection | C
2080 & 2085 | CM12  | Guy        | B
2080 & 2085 | C1-c1 | Clamp      | B
2080 & 2085 | P1    | Pole Deflection | B
2080 & 2085 | PG21  | Guy        | B
2080 & 2085 | C1-c1 | Clamp      | B
2080 & 2085 | P1    | Pole Deflection | B
2080 & 2085 | P1    | Steel Pole | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | PG21  | Guy        | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | P1    | Steel Pole | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | PG21  | Guy        | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | PG11  | Guy        | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | PG21  | Guy        | C
2080 & 2085 | C1-c1 | Clamp      | C
2080 & 2085 | P1    | Pole Deflection | C
2080 & 2085 | PG11  | Guy        | B
2080 & 2085 | C1-c1 | Clamp      | B
2080 & 2085 | P1    | Pole Deflection | B
2080 & 2085 | PG21  | Guy        | B
2080 & 2085 | C1-c1 | Clamp      | B
2080 & 2085 | P1    | Pole Deflection | B
2120     | P1    | Steel Pole | B
2120     | U1p   | Post       | B
2120     | P1    | Pole Deflection | B
2120     | P1    | Steel Pole | B
2120     | U1p   | Post       | B
2120     | P1    | Pole Deflection | B
2120     | P1    | Steel Pole | C
2120     | U1p   | Post       | C
2120     | P1    | Pole Deflection | C
2120     | P1    | Steel Pole | C
2120     | U1p   | Post       | C
2120     | P1    | Pole Deflection | C
2120     | P1    | Steel Pole | C
2120     | U1p   | Post       | C
2120     | P1    | Pole Deflection | C
2120     | P1    | Steel Pole | C
2120     | U1p   | Post       | C
2120     | P1    | Pole Deflection | C
2130     | P1    | Steel Pole | B
2130     | U4p   | Post       | B
2130     | P1    | Pole Deflection | B
2130     | F2-a1 | X-Arm      | B
2130     | U4p   | Post       | B
2130     | P1    | Pole Deflection | B
2130     | P1    | Steel Pole | C
2130     | U4p   | Post       | C
2130     | P1    | Pole Deflection | C
2130     | F2-a1 | X-Arm      | C
2130     | U4p   | Post       | C
2130     | P1    | Pole Deflection | C
2130     | P1    | Steel Pole | C
2130     | U4p   | Post       | C
2130     | P1    | Pole Deflection | C
2130     | F2-a1 | X-Arm      | C
2130     | U4p   | Post       | C
2130     | P1    | Pole Deflection | C
2200     | P1    | FRP Pole   | B
2200     | U1p   | Post       | B
2200     | P1    | Pole Deflection | B
2200     | P1    | FRP Pole   | B
2200     | U1p   | Post       | B
2200     | P1    | Pole Deflection | B
2200     | P1    | FRP Pole   | C
2200     | U1p   | Post       | C
2200     | P1    | Pole Deflection | C
2200     | P1    | FRP Pole   | C
2200     | U1p   | Post       | C
2200     | P1    | Pole Deflection | C
2200     | P1    | FRP Pole   | C
2200     | U1p   | Post       | C
2200     | P1    | Pole Deflection | C
2200     | P1    | FRP Pole   | C
2200     | U1p   | Post       | C
2200     | P1    | Pole Deflection | C
2210     | P1    | Steel Pole | B
2210     | U4p   | Post       | B
2210     | P1    | Pole Deflection | B
2210     | P1    | Steel Pole | B
2210     | U4p   | Post       | B
2210     | P1    | Pole Deflection | B
2210     | P1    | Steel Pole | C
2210     | U4p   | Post       | C
2210     | P1    | Pole Deflection | C
2210     | P1    | Steel Pole | C
2210     | U4p   | Post       | C
2210     | P1    | Pole Deflection | C
2210     | P1    | Steel Pole | C
2210     | U4p   | Post       | C
2210     | P1    | Pole Deflection | C
2210     | P1    | Steel Pole | C
2210     | U4p   | Post       | C
2210     | P1    | Pole Deflection | C
2240     | P1    | Steel Pole | B
2240     | U4p   | Post       | B
2240     | P1    | Pole Deflection | B
2240     | P1    | Steel Pole | B
2240     | U4p   | Post       | B
2240     | P1    | Pole Deflection | B
2240     | P1    | Steel Pole | C
2240     | U4p   | Post       | C
2240     | P1    | Pole Deflection | C
2240     | P1    | Steel Pole | C
2240     | U4p   | Post       | C
2240     | P1    | Pole Deflection | C
2240     | P1    | Steel Pole | C
2240     | U4p   | Post       | C
2240     | P1    | Pole Deflection | C
2240     | P1    | Steel Pole | C
2240     | U4p   | Post       | C
2240     | P1    | Pole Deflection | C
2350     | P1    | Steel Pole | B
2350     | U1p   | Post       | B
2350     | P1    | Pole Deflection | B
2350     | P1    | Steel Pole | B
2350     | U1p   | Post       | B
2350     | P1    | Pole Deflection | B
2350     | P1    | Steel Pole | C
2350     | U1p   | Post       | C
2350     | P1    | Pole Deflection | C
2350     | P1    | Steel Pole | C
2350     | U1p   | Post       | C
2350     | P1    | Pole Deflection | C
2350     | P1    | Steel Pole | C
2350     | U1p   | Post       | C
2350     | P1    | Pole Deflection | C
2350     | P1    | Steel Pole | C
